codigo_ocorrencia1,codigo_ocorrencia2,category_group,aeronave_fatalidades_total
47694,47694,Loss of Control,0
67163,67163,System or Component Failure,0
78138,78138,System or Component Failure,0
51052,51052,Runway and Landing Issues,0
77743,77743,Engine-Related Issues,0
80095,80095,System or Component Failure,0
53071,53071,System or Component Failure,0
52691,52691,Engine-Related Issues,0
78727,78727,Loss of Control,0
79403,79403,Fuel-Related Issues,0
77756,77756,Navigation and Air Traffic Issues,0
79066,79066,Navigation and Air Traffic Issues,0
80856,80856,Navigation and Air Traffic Issues,2
50804,50804,Loss of Control,3
53184,53184,Engine-Related Issues,0
80523,80523,Engine-Related Issues,0
80784,80784,Animal Collisions,0
80939,80939,System or Component Failure,0
81026,81026,System or Component Failure,0
50132,50132,Navigation and Air Traffic Issues,3
53260,53260,Engine-Related Issues,0
80785,80785,Runway and Landing Issues,0
79066,79066,Navigation and Air Traffic Issues,0
53229,53229,System or Component Failure,0
81001,81001,Animal Collisions,0
78332,78332,Runway and Landing Issues,0
78384,78384,System or Component Failure,0
46879,46879,Loss of Control,0
79397,79397,Navigation and Air Traffic Issues,0
80179,80179,System or Component Failure,0
79862,79862,System or Component Failure,0
60641,60641,System or Component Failure,0
52312,52312,Engine-Related Issues,0
79617,79617,Runway and Landing Issues,0
80483,80483,Loss of Control,1
66613,66613,Navigation and Air Traffic Issues,0
79713,79713,Fuel-Related Issues,0
48837,48837,Runway and Landing Issues,0
78984,78984,System or Component Failure,0
79687,79687,System or Component Failure,0
77691,77691,Loss of Control,1
77205,77205,System or Component Failure,0
78198,78198,Runway and Landing Issues,0
77966,77966,Fuel-Related Issues,0
79458,79458,System or Component Failure,0
81072,81072,System or Component Failure,0
80434,80434,Navigation and Air Traffic Issues,0
81219,81219,System or Component Failure,0
81679,81679,Loss of Control,0
79601,79601,System or Component Failure,0
80104,80104,System or Component Failure,0
47080,47080,Engine-Related Issues,0
53569,53569,System or Component Failure,0
78781,78781,Engine-Related Issues,0
53311,53311,Weather-Related Issues,0
78917,78917,System or Component Failure,0
53560,53560,Weather-Related Issues,0
65768,65768,System or Component Failure,0
53259,53259,Runway and Landing Issues,1
79876,79876,System or Component Failure,0
77386,77386,Loss of Control,2
47144,47144,System or Component Failure,0
80311,80311,Engine-Related Issues,0
48103,48103,System or Component Failure,0
79049,79049,Engine-Related Issues,0
78028,78028,Runway and Landing Issues,0
78564,78564,Runway and Landing Issues,0
80562,80562,Runway and Landing Issues,0
81076,81076,System or Component Failure,0
53129,53129,System or Component Failure,0
77289,77289,Runway and Landing Issues,0
77878,77878,Navigation and Air Traffic Issues,0
81302,81302,Engine-Related Issues,0
78433,78433,Engine-Related Issues,0
81620,81620,Animal Collisions,0
66989,66989,System or Component Failure,0
80997,80997,Engine-Related Issues,0
79363,79363,Loss of Control,0
79225,79225,Animal Collisions,0
80963,80963,System or Component Failure,0
80636,80636,System or Component Failure,0
77705,77705,Runway and Landing Issues,0
78321,78321,System or Component Failure,0
79000,79000,Fuel-Related Issues,0
79852,79852,Fuel-Related Issues,0
52717,52717,System or Component Failure,0
49171,49171,Navigation and Air Traffic Issues,0
53517,53517,System or Component Failure,0
60661,60661,Loss of Control,0
78058,78058,Navigation and Air Traffic Issues,3
78657,78657,Engine-Related Issues,0
80426,80426,Engine-Related Issues,0
52337,52337,System or Component Failure,0
81322,81322,Engine-Related Issues,0
51756,51756,Fuel-Related Issues,0
80631,80631,System or Component Failure,0
48442,48442,System or Component Failure,0
78035,78035,Navigation and Air Traffic Issues,0
48105,48105,System or Component Failure,0
81092,81092,System or Component Failure,0
80290,80290,System or Component Failure,0
53373,53373,Loss of Control,0
53532,53532,System or Component Failure,0
52672,52672,Others/Miscellaneous,0
66703,66703,System or Component Failure,0
81086,81086,Runway and Landing Issues,0
80384,80384,Loss of Control,0
80656,80656,Runway and Landing Issues,0
65815,65815,Engine-Related Issues,0
65563,65563,Weather-Related Issues,0
53061,53061,System or Component Failure,0
52945,52945,Engine-Related Issues,0
80407,80407,Animal Collisions,0
53182,53182,Navigation and Air Traffic Issues,1
46819,46819,System or Component Failure,0
67139,67139,Loss of Control,0
50513,50513,System or Component Failure,0
